lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date,hour
51.444,5.475,7.333104,7.333104,7.333104,7.8219194,7.8219194,7.8219194,8.271385,8.271385,8.271385,8.271388,8.271388,8.271388,37.804214,37.804214,37.804214,2025-03-19,7
51.445,5.475,7.204928,7.116807,7.293049,7.379898,7.309925,7.449871,7.8039646,7.729971,7.8779583,7.803967,7.729973,7.8779607,37.804985,37.607376,38.002594,2025-03-19,7
51.446,5.475,7.2040377,7.103456,7.341115,6.949175,6.372965,7.710045,7.3489623,6.7391944,8.153082,7.3495407,6.7392287,8.153085,37.85788,37.311356,38.249786,2025-03-19,7
51.447,5.475,7.159533,7.159533,7.159533,6.4259634,6.4259634,6.4259634,6.7952147,6.7952147,6.7952147,6.7952166,6.7952166,6.7952166,37.889664,37.889664,37.889664,2025-03-19,7
51.444,5.476,7.408763,7.311741,7.474631,7.7172346,7.3195624,7.946081,8.160687,7.7401676,8.402682,8.160692,7.7401786,8.402684,37.93443,37.819473,38.016327,2025-03-19,7
51.443,5.477,7.3838406,7.362478,7.405203,6.946834,6.8347774,7.058891,7.3475084,7.229924,7.465093,7.349336,7.2328672,7.4658055,38.080414,38.072784,38.088043,2025-03-19,7
51.444,5.477,7.38384,7.38384,7.38384,7.2309794,7.2309794,7.2309794,7.646551,7.646551,7.646551,7.6466293,7.6466293,7.6466293,38.158234,38.158234,38.158234,2025-03-19,7
51.442,5.478,7.3865104,7.293049,7.479972,6.5763035,6.472509,6.680098,6.9541936,6.8444347,7.0639524,6.9541955,6.8444366,7.0639544,37.73784,37.62874,37.84694,2025-03-19,7
51.441,5.479,7.3664827,7.327763,7.405203,6.6758504,6.6211553,6.7305455,7.0594606,7.0016227,7.1172986,7.0594625,7.0016246,7.1173005,37.808792,37.763016,37.85457,2025-03-19,7
51.44,5.48,7.495994,7.495994,7.495994,6.5867047,6.5867047,6.5867047,6.9651923,6.9651923,6.9651923,6.965194,6.965194,6.965194,37.57228,37.57228,37.57228,2025-03-19,7
51.441,5.48,7.522697,7.522697,7.522697,6.728693,6.728693,6.728693,7.1153398,7.1153398,7.1153398,7.1153417,7.1153417,7.1153417,37.41664,37.41664,37.41664,2025-03-19,7
51.44,5.481,7.479972,7.479972,7.479972,6.7990313,6.7990313,6.7990313,7.1897197,7.1897197,7.1897197,7.189722,7.189722,7.189722,37.586014,37.586014,37.586014,2025-03-19,7
51.467,5.384,8.636225,8.60151,8.670939,6.998507,6.843715,7.1532984,7.4006577,7.2369714,7.564344,7.40066,7.236974,7.5643463,39.49034,39.337753,39.64293,2025-03-19,8
51.468,5.385,8.676279,8.676279,8.676279,7.0933523,7.0933523,7.0933523,7.500953,7.500953,7.500953,7.5009556,7.5009556,7.5009556,39.519333,39.519333,39.519333,2025-03-19,8
51.468,5.386,8.649576,8.649576,8.649576,6.7856045,6.7856045,6.7856045,7.1755214,7.1755214,7.1755214,7.1755238,7.1755238,7.1755238,39.752792,39.752792,39.752792,2025-03-19,8
